TCP,ESTC,text_name,Title,Title 30 Char or fewer,Author,Physical Description,Phys Desc Notes,Derived Date,Publication Place,Publisher,Verse/Prose/Mixed,Helsinki Prototypical Text Category,Non-Helsinki Prototypical,Status,Notes
A42036,R293,A42036.headed.txt,"A most excellent and pathetical oration, or, Declamation of Gregory Nazianzen's stigmatizing, and condemning the Emperor Julian for his apostatising from the truth and containing, by way of history, the persecution of the Christians during his reign, the",OrationCondemningJulian,"Gregory, of Nazianzus, Saint.",12�,,1662,London :,"Printed by W. Godbid for H. Herringman ...,",prose,IR,INST,Free,
A42050,R40036,A42050.headed.txt,"A modest plea for the due regulation of the press in answer to several reasons lately printed against it, humbly submitted to the judgment of authority / by Francis Gregory, D.D. and rector of Hambleden in the county of Bucks.",PleaForDueRegulationOfPress,"Gregory, Francis, 1625?-1707.",4�,,1698,London :,"Printed for R. Sare ...,",prose,IR or IS?,ARG,Free,
A42142,R215621,A42142.headed.txt,"Pax vobis, or, Gospel and liberty against ancient and modern papists / by a preacher of the word.",PaxVobisLibertyAgainstPapists,"Brown, S. J.|Gordon, John, 1644-1726.|Griffith, Evan,",12�,,1687,[S.l. :,"s.n.],",prose,IR,ARG,Free,
A42184,R215837,A42184.headed.txt,"The late censors deservedly censured; and their spurious litter of libels against Dr. Greenfield, and others, justly expos'd to contempt by the following answer to all, but especially the last, intituled, A reply to the reasons against the censors of the",CensorsDeservedlyCensured,"Groeneveldt, Jan, 1647?-1710?",4�,,1698,London :,"printed for the author, and are to be sold by B. Billingsley at the Printing-Press under the Royal Exchange in Cornhill,",prose,EX or STA?,ARG,Free,
A42320,R13895,A42320.headed.txt,"An account of a late voyage to Athens containing the estate both ancient and modern of that famous city, and of the present empire of the Turks, the life of the now Sultan Mahomet the IV, with the Ministry of the Grand Vizier Coprogli Achmet Pacha : also",VoyageToAthensAndTurkey,"Guillet de Saint-Georges, Georges, 1625-1705.",8�,,1676,London :,"Printed by J.M. for H. Herringman ...,",prose,NN,NARR,Free,
A42395,R213757,A42395.headed.txt,"The admirable virtues, and wonderful effects of the true and genuine tincture of coral, in physick grounded upon reason, established by experience, and confirmed by authentical authors in all ages. Never found out plainly till now. By Theophilus Garencier",VirtuesOfCoralTincture,"Garenci�res, Theophilus, 1610-1680.",8�,,1676,London :,"printed by W.R. for Samuel Sprint at the sign of the Bell in Little Britain,",prose,IS,INST,Free,
A42397,R16663,A42397.headed.txt,"A mite cast into the treasury of the famous city of London being a brief and methodical discourse of the nature, causes, symptomes, remedies and preservation from the plague, in this calamitous year, 1665 : digested into aphorismes / by Theophilvs Garenci",DiscourseOfPlague,"Garenci�res, Theophilus, 1610-1680.",4�,,1665,London :,"Printed by Thomas Ratcliffe,",prose,IS,INST,Free,
A42503,R5824,A42503.headed.txt,"Sapientia justificata, or, A vindication of the fifth chapter to the Romans and therein of the glory of the divine attributes, and that in the question or case of original sin, against any way of erroneous understanding it, whether old or new : more espec",VindicationRomansCh5,"Gaule, John, 1604?-1687.",12�,,1657,London :,"Printed for N. Paris and Tho. Dring ...,",prose,IR,ARG,Free,
A42536,R7653,A42536.headed.txt,"The religion of a physician, or, Divine meditations upon the grand and lesser festivals, commanded to be observed in the Church of England by act of Parliament by Edmund Gayton ...",MeditationsOnFestivals,"Gayton, Edmund, 1608-1666.",4�,,1663,London :,"Printed by J.G. for the author,",mixed,IR,INST,Free,"meditations, not a decree"
A42642,R219866,A42642.headed.txt,"To the honnorable the Commons of the realme of England, assembled in Parliament. Explanation. Concerning certaine expedients by vvhich the state of England may reape notable advantage. Baltazar Gerbier knight.|To the honorable the Commons of the realme of",GerbiersExplanationToCommons,"Gerbier, Balthazar, Sir, 1592?-1667.",2�,,1646,[London? :,"s.n.],",prose,EX,ARG,Free,
A42671,R21794,A42671.headed.txt,"Digitus dei, or, A miraculous victory gained by the English upon the rebels in Munster exprest in two letters written to Lievtenant Colonell St.Leger, sonne and heire to the Right Honourable Sir William St. Leger, knight, late Lord president of Munster /",KingsVictoryInMunster,"Gething, Richard, 1585?-1652?",4�,,1642,London :,"Printed for Thomas Bates,",prose,NN,NARR,Free,
A42860,R39578,A42860.headed.txt,The Glory of the British seas being a list of the Royal Navy ...,GloryOfBritishSeas,,1�,single-sided,1697,London :,"Printed by George Croom ...,",prose,EX,EX,Free,
A42891,R34917,A42891.headed.txt,"To the King's Most Excellent Majesty and the lords spiritual and temporal in Parliament assembled the humble petition of Ezekiel Goddard of Kings Lynn, in the county of Norfolk, in behalf of many millions now employed in the wollen manufacture of this Kin",PetitionWoolenManufacture,"Goddard, Ezekiel.",4�,,1700,1700,[London? :,prose,STA,STA,Free,"chose ""STA"" rather than ""ARG"" because it's a formal petition"
A43147,R217345,A43147.headed.txt,"The English rogue described, in the life of Meriton Latroon, a witty extravagant. Being a compleat discovery of the most eminent cheats of both sexes. Licensed, January 5. 1666.|The English rogue. Part 1.|English rogue: or, witty extravagant",LifeOfMeritonLatroon,"Head, Richard, 1637?-1686?",8�,,1668,London :,"printed for Francis Kirkman, and are to be sold by him and Thomas Dring the younger, at the White-Lyon next Chancery-lane in Fleet street,",prose,NI,NARR,Free,
A43153,R216596,A43153.headed.txt,"The English rogue continued in the life of Meriton Latroon, and other extravangants comprehending the most eminent cheats of most trades professions. The second part. Licensed Feb. 22. 1669.|The English rogue. Part 2.|English rogue, and other extravagants",TheEnglishRoguePart2,"Head, Richard, 1637?-1686?",8�,,1680,London :,"printed for Francis Kirkman, and are to be sold by William Rands in Duck-lane,",prose,NI,NARR,Free,
A43544,R30781,A43544.headed.txt,"A letter to a gentleman of Leicester-shire shewing, out of the publique writings which have passed betwixt His Majestie and his two Houses of Parliament : that all the overtures which have beene made for peace and accommodation have proceeded from His Maj",LetterToALeicestershireGent,"Heylyn, Peter, 1600-1662.",4�,,1643,[S.l. :,"s.n.],",prose,NN,NARR or ARG?,Free,
A43866,R11573,A43866.headed.txt,"His Maiesties passing through the Scots armie as also, his entertainment by Generall Lesly : together with the manner of the Scots marching out of New-Castle / related by the best intelligence.",KingPassingThruScotsArmy,,4�,,1641,[Edinburgh? :,"s.n.],",prose,NN,NARR,Free,
A43889,R11690,A43889.headed.txt,The manner how statutes are enacted in Parliament by passing of bills collected many yeares past out of the iournalls of the House of Commons by W. Hakewil ... ; together with a catalogue of the speakers names.,HowParliamentStatutesEnacted,"Hakewill, William, 1574-1655.",12�,,1641,London :,"Printed by T.H. for Iohn Benson ...,",prose,EX,EX,Free,
A43987,R22309,A43987.headed.txt,"Elements of philosophy the first section, concerning body / written in Latine by Thomas Hobbes of Malmesbury ; and now translated into English ; to which are added Six lessons to the professors of mathematicks of the Institution of Sr. Henry Savile, in th",ElementsOfPhilosophy,"Hobbes, Thomas, 1588-1679.",4�,,1656,London :,"Printed by R.  W. Leybourn for Andrew Crooke ...,",prose,EX,EX,Free,
A44173,R13605,A44173.headed.txt,A panegyrick on the coronation of His Most Sacred Majesty Charles II by Samuel Holland.,PanegyrickCoronationCharlesII,"Holland, Samuel, gent.",2�,,1661,London :,"Printed for William Plaice ...,",verse,NN,DESC,Free,
A44243,R30719,A44243.headed.txt,"Pleas of the crown, or, A brief but full account of whatsoever can be found relating to that subject by Sir Matthew Hale.",PleasOfTheCrown,"Hale, Matthew, Sir, 1609-1676.",8�,,1678,London :,"Printed for Richard Tonson ...,",prose,STA,STA,Free,
A44446,R24989,A44446.headed.txt,"Amasia, or, The works of the muses a collection of poems : in three volumes / by John Hopkins.",AmasiaWorksOfMusesPoems,"Hopkins, John, fl. 1700.",8�,,1700,London :,"Printed by Tho. Warren for Bennet Banbury,",verse,NI,NARR,Free,
A44574,R40925,A44574.headed.txt,"The man of honour, occasion'd by the postscript of pen's letter",ManOfHonour,"Halifax, Charles Montagu, Earl of, 1661-1715.",4�,,1689,[London :,"s.n.,",verse,NN,NARR,Free,
A44657,R30342,A44657.headed.txt,Poems on several occasions written by the Honoura ble Sir Robert Howard.|The blind lady.,PoemsSeveralOccasionsHoward,"Howard, Robert, Sir, 1626-1698.|Virgil.|Statius, P. Papinius|Dryden, John, 1631-1700.",8�,,1696,London :,"Printed for Francis Saunders ...,",mixed,NI,NARR,Free,"contains original occasional poems as well as translations of classical poetry, prose annotations on the translations, and a play (in verse)"
A44793,R22288,A44793.headed.txt,"The great case of the tythes and forced maitenance [sic] once more revived the true state thereof enquired into, before the law, under the law, among the Jews : likewise under the Gospel, the true ministers of Christ, their allowance shown : likewise in t",TythesForcedMaintenance,"Howgill, Francis, 1618-1669.|M. L.|Guy, Edward, 17th cent.|Raunce, John, 17th cent.",4�,,1665,[London :,"s.n. ],",prose,IR,ARG,Free,
A44836,R11626,A44836.headed.txt,Some cautions offered to the consideration of those who are to chuse members to serve in the ensuing Parliament|Cautions to those who are to chuse members to serve in Parliament,CautionsToChooseParliament,"Halifax, George Savile, Marquis of, 1633-1695.",4�,,1695,London :,"[s.n.],",prose,IS,INST,Free,
A45212,R213500,A45212.headed.txt,"Reasons for the inditement of the D. of York, presented to the grand jury of Middlesex, Saturday, June 26. 80. By the persons hereunder named.",InditementOfDukeOfYork,"Huntingdon, Theophilus Hastings, Earl of, 1650-1701.",1/2�,single-sided,1680,[London :,"s.n.,",prose,STA,STA,Free,
A45214,R188181,A45214.headed.txt,"A defence of the humble remonstrance, against the frivolous and false exceptions of Smectymnvvs wherein the right of leiturgie and episcopacie is clearly vindicated from the vaine cavils, and challenges of the answerers / by the author of the said humble",DefenseAgainstSmectymnuus,"Hall, Joseph, 1574-1656.|Scultetus, Abraham, 1566-1624.",4�,,1641,London :,"Printed for Nathaniel Butter ...,",prose,IR?,ARG,Free,
A45318,R10352,A45318.headed.txt,"The shaking of the olive-tree the remaining works of that incomparable prelate Joseph Hall D. D. late lord bishop of Norwich : with some specialties of divine providence in his life, noted by his own hand : together with his Hard measure, vvritten also by",WorksJosephHall,"Hall, Joseph, 1574-1656.|Hall, Joseph, 1574-1656.",4�,,1660,London :,"Printed by J. Cadwel for J. Crooke ...,",prose,IR,INST,Free,
A45360,R13918,A45360.headed.txt,The sacred method of saving humane souls by Jesus Christ by Henry Hallywell ...,SavingHumaneSouls,"Hallywell, Henry, d. 1703?",8�,,1677,London :,"Printed for Walter Kettilby ...,",prose,IR,INST,Free,
A45822,R16486,A45822.headed.txt,"Iter Oxoniense, or, The going down of the asses to Oxenford",AssesGoingToOxenford,,1/2�,single-sided,1681,[London? :,"s.n.,",verse,NN,NARR,Free,ballad
A46053,R2596,A46053.headed.txt,"Ignoramus-justice, or, The English-law turn'd into gin to let knaves out and keep honest men in an excellent song to the tune of Sir Egledemore.",IgnoramusJusticeASong,,1/2�,single-sided,1682,London :,"Printed for Allen Banks,",verse,NI or NN?,NARR,Free,does this refer to an actual trial?
A46231,R8441,A46231.headed.txt,A description of the nature of four-footed beasts with their figures en[graven in brass] / written in Latin by Dr. John Johnston ; translated into English by J.P.|Historiae naturalis de quadrupetibus. English,NatureOfFourFootedBeasts,"Jonstonus, Joannes, 1603-1675.|J. P.",2�,,1678,Amsterdam :,"Printed for the widow of John Jacobsen Schipper, and Stephen Swart,",prose,EX,EX,Free,
A46267,R217089,A46267.headed.txt,"Piety, and poesy. Contracted. By T. J.|Elegiack poems.",PietyAndPoesyElegaicPoems,"Jordan, Thomas, 1612?-1685?",8�,,1643,London :,"printed for Robert Wood,",verse,IR,INST,Free,
A46587,,A46587.headed.txt,"A proclamation requiring all heretors and free-holders, and militia of the Kingdom of Scotland to be in a readiness to come out in their best arms and provided (upon advertisement) for His Majesties service",ProclamationHeretorFreeholder,England and Wales. Sovereign (1685-1688 : James II),1�,single-sided,1685,Edinburgh :|reprinted at London :,"Printed by the heir of Andrew Anderson ... ;|by George Croom ...,",prose,STA,STA,Free,
A46607,R213893,A46607.headed.txt,"The merry mans resolution or a Lonon [sic] frollick. He goes a wooing yet the matters so, he cares not much whether he speeds or no, cause city wives and wenches are so common he thinks it hard to find an honest woman ben't angry with this fellow I protes",MerryMansResolution,T. J.,1/2�,single-sided,1665,[London] :,"Printed for J. Williamson at the Bible in Canon street  on London Bridge,",verse,NN,NARR,Free,date should be 1670?; ballad
A46965,R16394,A46965.headed.txt,"The second part of The confutation of the Ballancing letter containing an occasional discourse in vindication of Magna Charta.|Confutation of the balancing letter., Part 2",ConfutationBalancingLetter,"Johnson, Samuel, 1649-1703.|Johnson, Samuel, 1649-1703.",4�,,1700,1700,London :,prose,NN,ARG,Free,a history in service of a legal argument
A47471,R41039,A47471.headed.txt,"The Kings letter intercepted coming from Oxford with a ioyful and true relation of th[e?] great victory obtained by Sir Thomas Fairfax, Sir William Brereton, and Sir VVilliam Fairfax, against the Irish at the raising of the siege at Nantwich on Friday las",KingsLetterOfFairfaxVictory,"Charles 1600-1649.|Fairfax, Thomas Fairfax, 1612-1671.|Fairfax, William, 1609-1644.|Brereton, William, 1604-1661.",4�,,1644,London :,"Printed by [Andrew Coe],",prose,NN,NARR,Free,
A47830,R216545,A47830.headed.txt,The committee; or popery in masquerade.|Committee|Popery in masquerade.,CommitteePoperyMasquerade,"L'Estrange, Roger, Sir, 1616-1704.",1�,single-sided,1681,London :,"printed by Mary Clark, for Henry Brome, at the Gun in St. Paul's Church-yard,",verse,,DESC?,Free,"hybrid, doesn't fit any of the categories: a satirical verse touching religious and political matters, describing the attached image, sometimes in narrative terms"
A47841,R22106,A47841.headed.txt,"A discourse of the fishery briefly laying open, not only the advantages, and facility of the undertaking, but likewise the absolute necessity of it, in order to the well-being, both of king, and people : asserted, and vindicated from all materiall objecti",DiscourseOfFishery,"L'Estrange, Roger, Sir, 1616-1704.",4�,,1674,London :,"Printed for Henry Brome ...,",prose,EX?,ARG,Free,could also be IS
A47854,R16045,A47854.headed.txt,"The free-born subject, or, The Englishmans birthright asserted against all tyrannical vsurpations either in church or state",FreeBornSubject,"L'Estrange, Roger, Sir, 1616-1704.",4�,,1679,London :,"Printed for Henry Brome ...,",prose,IS,ARG,Free,
A48160,R3143,A48160.headed.txt,"A letter to a friend concerning a postscript to the Defense of Dr. Sherlock's notion of the Trinity in unity, relating to the Calm and sober enquiry upon the same subject",DefenseOfDrSherlocksTrinity,"Howe, John, 1630-1705.",8�,,1694,London :,"Printed by J. Astwood for Tho. Parkhurst ...,",prose,IR,ARG,Free,
A48276,R14979,A48276.headed.txt,"A Letter from Generall Leven, the Lord Fairfax, and the Earl of Manchester, to the committee of both kingdoms, and by them communicated to the Parliament concerning the great victory it hath pleased God to give them over the forces under the command of Pr",LevenFairfaxLetterOfVictory,"Leven, Alexander Leslie, 1580?-1661.|Hatcher, Thomas, 1589?-1677.|Balcarres, Alexander Lindsay, 1618-1659.|Fairfax, Ferdinando Fairfax, 1584-1648.|Manchester, Edward Montagu, 1602-1671.",4�,,1644,London :,"Printed for Edw. Husbands,",prose,NN,NARR,Free,
A48654,R673,A48654.headed.txt,"A List of the conventicles or unlawful meetings within the city of London and bills of mortality, with the places where they are to be found as also, the names of divers of the preachers and the several factions they profess.",ListConventiclesBillsMortality,,1�,single-sided,1683,London :,"Printed by Nat. Thompson,",prose,EX,EX,Free,
A48725,R37940,A48725.headed.txt,Hezekiah's return of praise for his recovery by A.L.,HezekiahsReturnOfPraise,"Littleton, Adam, 1627-1694.",4�,,1668,London :,"Printed by E. Cotes for Samuel Tomson ...,",prose,IR,INST,Free,
A48854,R20281,A48854.headed.txt,"A sermon preached before the Queen at White-Hall, January the 30th being the day of the martyrdom of King Charles the First by the Bishop of St. Asaph, Lord Almoner to Their Majesties.",SermonOnMartyrdomOfKingCharles,"Lloyd, William, 1627-1717.",4�,,1691,London :,"Printed for Thomas Jones ...,",prose,IR,INST,Free,
A49313,R233282,A49313.headed.txt,"The Low-country soldier: or, his humble petition at his return into England, after his bold adventures in bloody battels.",LowCountrySoldiersPetition,,1/2�,single-sided,1705,[London] :,"Printed for C. Bates at the Sun and Bible in Pye-corner,",verse,,,Free,
A49438,R21041,A49438.headed.txt,"Luctus britannici, or, The tears of the British muses for the death of John Dryden, Esq., late poet laureat to Their Majesties, K. Charles and K. James the Second written by the most eminent hands in the two famous universities, and by several others.",TearsOfMusesForDryden,"Playford, Henry, b. 1657.|Roper, Abel, 1665-1726.",2�,,1700,London :,"Printed for Henry Playford ... and Abel Roper ... and sold by John Nutt ...,",verse,NN,NARR,Free,
A49644,R213944,A49644.headed.txt,"A letter to a friend, touching Dr. Jeremy Taylor's Disswasive from Popery. Discovering above an hundred and fifty false, or wretched quotations, in it.",LetterTouchingJeremyTaylor,A. L.,4�,,1665,[S.l. :,"s.n.],",prose,IR,ARG,Free,
A49745,R31688,A49745.headed.txt,"The Law of ejectments, or, A treatise shewing the nature of ejectione firme the difference between it and trespass, and how to be brought or removed where the lands lie in franchises ... as also who are good witnesses or not in the trial of ejectment ...",LawOfEjectments,,8�,,1700,London :,"Printed for John Deebe ...,",prose,EX?,EX?,Free,could be IS/INST. I don't think it's STA because it's a legal treatise or handbook.
A49866,R212811,A49866.headed.txt,"A fountain of gardens watered by the rivers of divine pleasure, and springing up in all the variety of spiritual plants; blown up the pure breath into a paradise, sending forth their sweet savours, and strong odours, for soul-refreshing. By Jane Lead.|Fou",FountainOfGardens,"Lead, Jane, 1623-1704.",8�,,1696,London :,"printed and sold by J. Bradford, near Crowder's-Well,",mixed,NN,NARR,Free,diary of visions = more NN than IR
A50322,R213827,A50322.headed.txt,"Machivael's [sic] discourses upon the first decade of T. Livius, translated out of the Italian. To which is added his Prince. With some marginal animadversions noting and taxing his errors. By E.D.|Discorsi sopra la prima deca di Tito Livio. English.|Disc",MachiavellisDiscourseLivius,"Machiavelli, Niccol�o, 1469-1527.|Dacres, Edward,|Machiavelli, Niccol�o, 1469-1527.",12�,,1663,London :,"printed for G. Bedell, and T. Collins, and are to be sold at their shop at the Middle-Temple Gate in Fleetstreet,",prose,IS,INST,Free,
A50725,R38046,A50725.headed.txt,"The Merry wives of Wapping, or, The Seaman's wives clubb each one her husbands absence doth bemoan, complaining they are forc'd to lye alone, and that they want what other women have, although they married are to seamen brave, at length being flasht with",MerryWivesOfWapping,,1/2�,single-sided,1680,London :,"Printed for F. Coles, T. Vere, J. Wright, and J. Clarke ...,",verse,NI,NARR,Free,ballad
A51023,R32938,A51023.headed.txt,"Mr. George Keiths reasons for renouncing Quakerism, and entering into communion with the Church of England with other remarkable occurrences that will be acceptable to all orthodox Christians, of every persuasion.",ReasonsForRenouncingQuakerism,"Keith, George, 1639?-1716.",8�,,1700,London :,"Printed, and are to be sold by the booksellers of London and Westminister,",prose,IR,ARG,Free,
A51033,R221889,A51033.headed.txt,"The way to true honour and happiness. A friendly address to all parents, masters of families, and landlords, the persons most capable to honour ... , and to gain honour to themselves, by beginning and carrying on a rational reformation. To which is added,",WayTrueHonourHappiness,"Mitchell, John, fl. 1697.",8�,,1697,London :,"printed by I. Dawks, for B. Barker by the Fountain-Ta... at the foot of the Hay-Market, near Pell-Mell; sold by R. Baldwin in Warwick-lane,",prose,IR,INST,Free,
A51130,R7206,A51130.headed.txt,"Hollands ingratitude, or, A serious expostulation with the Dutch shewing their ingratitude to this nation, and their inevitable ruine, without a speedy compliance and submission to His Sacred Majesty of Britain / by Charles Molloy of Lincolns-Inn, Gent.",HollandsIngratitude,"Molloy, Charles, 1646-1690.",4�,,1666,London :,"Printed by T.J. for Fr. K. ...,",mixed,IS?,ARG,Free,mixed-genre
A51466,R214249,A51466.headed.txt,"The most lamentable and deplorable history of the two children in the wood containing the unhappy loves and lives of their parents, the treachery and barbarous villany of their unkle, the duel between the murdering ruffians, and the unhappy and deplorable",HistoryOfChildrenInTheWood,,4�,,1700,London :,"printed by and for W.O. and sold by the booksellers,",prose,NI,NARR,Free,
A52111,R41773,A52111.headed.txt,"The Huntsman's delight, or, The Forresetr's [sic] pleasant pastime to the tune of, Amongst the leaves so green a, etc.",HuntsmansDelightBallad,"Martin, Joseph.",1/2�,single-sided,1700,London :,"Printed for W.O. and sold by the booksellers,",verse,NI,NARR,Free,
A52952,R180951,A52952.headed.txt,"A new petition to the Kings most Excellent Majesty the humble petition of the knights, gentry, free-holders, of the county of Yorke who have subscribed hereto : presented to His Majesty at Yorke, April 30, 1642, desiring a happy union betwixt the King and",CountyYorkePetitionToKing,,1�,single-sided,1642,London :,"Printed for John Wright,",prose,STA,STA,Free,
A52991,R217826,A52991.headed.txt,A new song of the misfortunes of an old whore and her brats.,NewSongOfOldWhore,,1/2�,single-sided,1688,[London :,"s.n.,",verse,NN,NARR,Free,ballad about war with france
A52999,R40048,A52999.headed.txt,"A new systeme of the Apocalypse, or, Plain and methodical illustrations of all the visions in the Revelation of St. Iohn written by a French minister in the year 1685. and finisht but two days before the dragoons plunderd him of all, except this treatise",SystemOfApocalypse,French minister.,12�,,1688,London printed :,"[s.n.],",prose,IR,INST,Free,
A53302,R236893,A53302.headed.txt,Some new pieces never before publish'd by the author of the Satyrs upon the Jesuites.,NewPiecesOldham,"Oldham, John, 1653-1683.",8�,,1684,London :,"Printed by M.C. for Jo. Hindmarsh ...,",verse,NI or NN?,NARR,Free,"includes prose advertisement (4pp); mostly but not entirely translations of classical poetry, as well as some imitations and originals"
A53728,R20887,A53728.headed.txt,"Some considerations about union among Protestants, and the preservation of the interest of the Protestant religion in this nation",UnionAmongProtestants,"Owen, John, 1616-1683.",4�,,1680,London :,"Printed by T.S.,",prose,IR,ARG,Free,
A54060,R23175,A54060.headed.txt,Some queries concerning the order and government of the church of Christ,QueriesOnChurchGovernment,"Penington, Isaac, 1616-1679.",4�,,1663,[London :,"s.n.,",prose,IR,INST,Free,
A54161,R28422,A54161.headed.txt,"A key opening a way to every common understanding how to discern the difference betwixt the religion professed by the people called Quakers and the perversions, misrepresentations and calumnies of their several adversaries : published in great good will t",KeyToDiscernBetweenQuakers,"Penn, William, 1644-1718.",8�,,1693,London :,"Printed for Thomas Northcott,",prose,IR,ARG,Free,
A54844,R44,A54844.headed.txt,"The new discoverer discover'd by way of answer to Mr. Baxter his pretended discovery of the Grotian religion, with the several subjects therein conteined : to which is added an appendix conteining a rejoynder to diverse things both in the Key for Catholic",NewDiscovererDiscovered,"Pierce, Thomas, 1622-1691.",4�,,1659,London :,"Printed by J.G. for Richard Royston ...,",prose,IR,ARG,Free,
A54955,R35375,A54955.headed.txt,"The beau defeated, or, The lucky younger brother a comedy, as it is now acted by His Majesty's servants at the New Theatre in Lincolns-Inn-Fields.",BeauDefeatedAComedy,"Pix, Mary, 1666-1720.|Barker, Henry.",4�,,1700,London :,"Printed for W. Turner ... and R. Basset ...,",prose,NI,NARR,Free,
A55341,R23203,A55341.headed.txt,The choice a poem / by a person of quality.,TheChoiceAPoem,"Pomfret, John, 1667-1702.",2�,,1700,"London : Printed, and are to be sold by J. Nutt ...,",,verse,NN or NI?,NARR,Free,"describing his actual, personal idea of the perfect life, but in imaginative detail"
A55748,R33951,A55748.headed.txt,"The mysticall match between Christ and his church by the late learned and reverend divine, John Preston ... The leading sermon to that treatise of his called The churches marriage.",MysticalMatchOfChristAndChurch,"Preston, John, 1587-1628.",8�,,1648,London :,"Printed for Francis Eaglesfield, and are to be sold at the Marigold ...,",prose,IR,INST,Free,
A57001,R24488,A57001.headed.txt,"The works of the famous Mr. Francis Rabelais, doctor in physick treating of the lives, heroick deeds, and sayings of Gargantua and his son Pantagruel : to which is newly added the life of the author / written originally in French, and translated into Engl",WorksOfRabelais,"Rabelais, Fran�ois, ca. 1490-1553?|Urquhart, Thomas, 1611-1660.",8�,,1664,London :,"Printed for R.B., and are to be sold by John Starkey,",verse,NI,NARR,Free,fictional prose
A57495,R33544,A57495.headed.txt,Poems on several occasions by the right honourable the E. of R-.,PoemsSeveralOccasionsRochester,"Rochester, John Wilmot, Earl of, 1647-1680.",8�,,1680,Printed at Antwerpen :,"[s.n.,",verse,NI,NARR,Free,
A57979,R25109,A57979.headed.txt,"A sermon preached to the Honourable House of Commons at their late solemne fast, Wednesday, Jan. 31, 1644 by Samuel Rutherfurd.",SermonToCommons31Jan1644,"Rutherford, Samuel, 1600?-1661.",4�,,1644,Edinburgh :,"Printed by Evan Tyler,",prose,IR,INST,Free,
A57981,R19199,A57981.headed.txt,A survey of the Survey of that summe of church-discipline penned by Mr. Thomas Hooker ... wherein the way of the churches of N. England is now re-examined ... / by Samuel Rutherfurd ...,SurveySumChurchDiscipline,"Rutherford, Samuel, 1600?-1661.",4�,,1658,London :,"Printed by J.G. for Andr. Crook ...,",prose,IR,ARG,Free,
A58062,R217966,A58062.headed.txt,"Observations on the poems of Homer and Virgil a discourse representing the excellencies of those works; and the perfections in general, of all heroick action. Out of the French, by John Davies of Kidwelly.|Comparaison des po�mes d'Homere et de Virgile. En",ObservationsOnHomerAndVirgil,"Rapin, Ren�, 1621-1687.|Davies, John, 1625-1693,",8�,,1672,London :,"printed by S.G. and B.G. and are to be sold by Dorman Newman at the Kings-Arms in the Poultrey, and Jonathan Edwin at the three Roses in Ludgate Street,",prose,IS,ARG,Free,literary criticism isn't a genre mentioned in the helsinki prototype descriptions; this particular instance seems mostly argumentative
A58807,R18726,A58807.headed.txt,Practical discourses upon several subjects. Vol. I by John Scott ...,PracticalDiscoursesScott,"Scott, John, 1639-1695.",8�,,1697,London :,"Printed for Walter Kettilby,",prose,IR,INST,Free,
A58808,R32130,A58808.headed.txt,Practical discourses concerning obedience and the love of God. Vol. II by John Scott ...,PracticalDiscoursesLoveOfGod,"Scott, John, 1639-1695.|Zouch, Humphrey.",8�,,1698,London :,"Printed for W. Kettilby ... and S. Manship ...,",prose,IR,INST,Free,
A59325,R221090,A59325.headed.txt,"Mare clausum: or A ransack for the Dutch. May 23. 1666. By E.S. Gent. Licensed, May 30. 1666.",MareClausumARansackForTheDutch,"Settle, Elkanah, 1648-1724.",2�,,1666,London :,"printed by Peter Lillicrap, for John Million, at the Man in the Moon in the Little Old Baly,",verse,NN,NARR,Free,
A59415,R13590,A59415.headed.txt,"An account of the late establishment of Presbyterian-government by the Parliament of Scotland anno 1690 together with the methods by which it was settled, and the consequences of it : as also several publick acts, speeches, pleadings, and other matters of",AccountPresbyterianGovernment,"Sage, John, 1652-1711.",4�,,1693,London :,"Printed for Jos. Hindmarsh ...,",prose,NN,NARR,Free,"includes many STA documents, but within structure of a history"
A59418,R14001,A59418.headed.txt,"The Delights of the bottle, or, The town-galants declaration for women and wine being a description of a town-bred gentleman with all his intregues, pleasure, company, humor, and conversation ... : to a most admirable new tune, every where much in request",DelightsOfTheBottleNewTune,"Shadwell, Thomas, 1642?-1692.",1�,single-sided,1675,[London] :,"Printed for P. Brooksby, and R. Burton, and are to be sold at their shops ...,",verse,NN?,NARR? DESC?,Free,a drinking song...hard to fit it in the genre prototypes
A59496,R15526,A59496.headed.txt,"The history of King Richard the Second acted at the Theatre Royal under the name of The Sicilian usurper : with a prefatory epistle in vindication of the author, occasion'd by the prohibition of this play on the stage / by N. Tate.",TheSicilianUsurper,"Tate, Nahum, 1652-1715.|Shakespeare, William, 1564-1616.",4�,,1681,London :,"Printed for Richard Tonson and Jacob Tonson ...,",verse,NI?,NARR,Free,are history plays NN or NI? leaning towards NI b/c fictionalized
A60560,R37569,A60560.headed.txt,"An old mould to cast new lawes by compiled by the Honourable Sir Thomas Smith, Knight, doctor of both lawes, and one of the principall secretaries unto two most worthy princes, King Edward  Queen Elizabeth ; reprinted out of the Common-wealth of England b",OldMoldToCastNewLaws,"Smith, Thomas, Sir, 1513-1577.|James 1566-1625.",4�,,1643,[Oxford? :,"s.n.],",prose,EX,EX,Free,
